id,name,country
mechelen,KV Mechelen,Belgium
basel,FC Basel,Switzerland
young-boys,BSC Young Boys,Switzerland
grasshopper,Grasshopper Club Zürich,Switzerland
zurich,FC Zürich,Switzerland
sion,FC Sion,Switzerland
luzern,FC Luzern,Switzerland
servette,Servette,Switzerland
thun,FC Thun,Switzerland
salzburg,Red Bull Salzburg,Austria
rapid-wien,Rapid Wien,Austria
sturm-graz,Sturm Graz,Austria
austria-wien,Austria Wien,Austria
lask,LASK,Austria
wolfsberger,Wolfsberger AC,Austria
olympiacos,Olympiacos,Greece
panathinaikos,Panathinaikos,Greece
aek-athens,AEK Athens,Greece
paok,PAOK,Greece
aris,Aris Thessaloniki,Greece
panionios,Panionios,Greece
dynamo-kyiv,Dynamo Kyiv,Ukraine
shakhtar,Shakhtar Donetsk,Ukraine
zenit,Zenit,Russia
cska-moscow,CSKA Moscow,Russia
spartak-moscow,Spartak Moscow,Russia
lokomotiv,Lokomotiv Moscow,Russia
krasnodar,Krasnodar,Russia
rubin,Rubin Kazan,Russia
dinamo-zagreb,Dinamo Zagreb,Croatia
hajduk-split,Hajduk Split,Croatia
rijeka,Rijeka,Croatia
osijek,Osijek,Croatia
red-star,Red Star Belgrade,Serbia
partizan,Partizan Belgrade,Serbia
vojvodina,Vojvodina,Serbia
cukaricki,Čukarički,Serbia
slavia-prague,Slavia Prague,Czechia
sparta-prague,Sparta Prague,Czechia
viktoria-plzen,Viktoria Plzeň,Czechia
banik-ostrava,Baník Ostrava,Czechia
legia,Legia Warsaw,Poland
lech,Lech Poznań,Poland
wisla-krakow,Wisła Kraków,Poland
rakow,Raków Częstochowa,Poland
gornik,Górnik Zabrze,Poland
ludogorets,Ludogorets Razgrad,Bulgaria
cska-sofia,CSKA Sofia,Bulgaria
levski,Levski Sofia,Bulgaria
rosenborg,Rosenborg,Norway
molde,Molde,Norway
bodo-glimt,Bodø/Glimt,Norway
brann,Brann,Norway
vaalerenga,Vålerenga,Norway
malmo,Malmö FF,Sweden
aik,AIK,Sweden
ifk-goteborg,IFK Göteborg,Sweden
hammarby,Hammarby,Sweden
djurgarden,Djurgården,Sweden
fc-kobenhavn,FC København,Denmark
brondby,Brøndby,Denmark
fc-midtjylland,FC Midtjylland,Denmark
aab,AaB,Denmark
randers,Randers,Denmark
hjk,HJK Helsinki,Finland
valur,Valur,Iceland
kr-reykjavik,KR Reykjavík,Iceland
breidablik,Breiðablik,Iceland
shamrock-rovers,Shamrock Rovers,Ireland
dundalk,Dundalk,Ireland
cork-city,Cork City,Ireland
fcsb,FCSB,Romania
cfr-cluj,CFR Cluj,Romania
rapid-bucharest,Rapid București,Romania
dinamo-bucharest,Dinamo București,Romania
ferencvaros,Ferencváros,Hungary
debrecen,Debrecen,Hungary
mtk,MTK Budapest,Hungary
slovan-bratislava,Slovan Bratislava,Slovakia
olimpija,Olimpija Ljubljana,Slovenia
maribor,Maribor,Slovenia
apoel,APOEL,Cyprus
aek-larnaca,AEK Larnaca,Cyprus
maccabi-tel-aviv,Maccabi Tel Aviv,Israel
maccabi-haifa,Maccabi Haifa,Israel
flamengo,Flamengo,Brazil
fluminense,Fluminense,Brazil
palmeiras,Palmeiras,Brazil
corinthians,Corinthians,Brazil
santos,Santos,Brazil
sao-paulo,São Paulo,Brazil
gremio,Grêmio,Brazil
internacional,Internacional,Brazil
cruzeiro,Cruzeiro,Brazil
atletico-mineiro,Atlético Mineiro,Brazil
vasco,Vasco da Gama,Brazil
botafogo,Botafogo,Brazil
athletico-paranaense,Athletico Paranaense,Brazil
fortaleza,Fortaleza,Brazil
bahia,Bahia,Brazil
sport-recife,Sport Recife,Brazil
boca-juniors,Boca Juniors,Argentina
river-plate,River Plate,Argentina
independiente,Independiente,Argentina
racing,Racing Club,Argentina
san-lorenzo,San Lorenzo,Argentina
estudiantes,Estudiantes,Argentina
velez,Vélez Sarsfield,Argentina
newells,Newell's Old Boys,Argentina
rosario-central,Rosario Central,Argentina
penarol,Peñarol,Uruguay
nacional-montevideo,Nacional,Uruguay
colo-colo,Colo-Colo,Chile
universidad-de-chile,Universidad de Chile,Chile
universidad-catolica,Universidad Católica,Chile
atletico-nacional,Atlético Nacional,Colombia
millonarios,Millonarios,Colombia
america-cali,América de Cali,Colombia
junior,Junior,Colombia
ldu-quito,LDU Quito,Ecuador
emelec,Emelec,Ecuador
barcelona-sc,Barcelona SC,Ecuador
cerro-porteno,Cerro Porteño,Paraguay
olimpia-paraguay,Olimpia,Paraguay
libertad,Libertad,Paraguay
bolivar,Bolívar,Bolivia
the-strongest,The Strongest,Bolivia
alianza-lima,Alianza Lima,Peru
universitario,Universitario,Peru
sporting-cristal,Sporting Cristal,Peru
caracas,Caracas FC,Venezuela
deportivo-tachira,Deportivo Táchira,Venezuela
club-america,Club América,Mexico
chivas,Chivas Guadalajara,Mexico
cruz-azul,Cruz Azul,Mexico
monterrey,Monterrey,Mexico
tigres,Tigres UANL,Mexico
pumas,Pumas UNAM,Mexico
leon,Club León,Mexico
toluca,Toluca,Mexico
pachuca,Pachuca,Mexico
santos-laguna,Santos Laguna,Mexico
atlas,Atlas,Mexico
necaxa,Necaxa,Mexico
la-galaxy,LA Galaxy,USA
lafc,Los Angeles FC,USA
inter-miami,Inter Miami,USA
nycfc,New York City FC,USA
ny-red-bulls,New York Red Bulls,USA
seattle,Seattle Sounders FC,USA
atlanta-united,Atlanta United,USA
portland,Portland Timbers,USA
austin,Austin FC,USA
philadelphia,Philadelphia Union,USA
cincinnati,FC Cincinnati,USA
columbus,Columbus Crew,USA
dc-united,D.C. United,USA
sporting-kc,Sporting Kansas City,USA
chicago-fire,Chicago Fire,USA
toronto,Toronto FC,Canada
cf-montreal,CF Montréal,Canada
vancouver,Vancouver Whitecaps,Canada
forge,Forge FC,Canada
pacific,Pacific FC,Canada
cavalry,Cavalry FC,Canada
alajuelense,Alajuelense,Costa Rica
saprissa,Deportivo Saprissa,Costa Rica
herediano,Herediano,Costa Rica
urawa,Urawa Red Diamonds,Japan
kashima,Kashima Antlers,Japan
kawasaki,Kawasaki Frontale,Japan
yokohama-marinos,Yokohama F. Marinos,Japan
gamba-osaka,Gamba Osaka,Japan
vissel-kobe,Vissel Kobe,Japan
shimizu,Shimizu S-Pulse,Japan
nagoya,Nagoya Grampus,Japan
jeonbuk,Jeonbuk Hyundai Motors,South Korea
ulsan,Ulsan HD,South Korea
fc-seoul,FC Seoul,South Korea
suwon,Suwon Samsung Bluewings,South Korea
pohang,Pohang Steelers,South Korea
shanghai-port,Shanghai Port,China
guangzhou,Guangzhou FC,China
shandong,Shandong Taishan,China
beijing-guoan,Beijing Guoan,China
shanghai-shenhua,Shanghai Shenhua,China
tianjin,Tianjin Jinmen Tiger,China
mohun-bagan,Mohun Bagan,India
east-bengal,East Bengal,India
bengaluru,Bengaluru FC,India
persepolis,Persepolis,Iran
esteghlal,Esteghlal,Iran
sepahan,Sepahan,Iran
al-hilal,Al-Hilal,Saudi Arabia
al-nassr,Al-Nassr,Saudi Arabia
al-ittihad,Al-Ittihad,Saudi Arabia
al-ahli,Al-Ahli,Saudi Arabia
al-ain,Al Ain,UAE
shabab-al-ahli,Shabab Al Ahli,UAE
al-wasl,Al Wasl,UAE
al-sadd,Al Sadd,Qatar
al-duhail,Al Duhail,Qatar
al-ahly,Al Ahly,Egypt
zamalek,Zamalek,Egypt
wydad,Wydad Casablanca,Morocco
raja,Raja Casablanca,Morocco
esperance,Espérance de Tunis,Tunisia
club-africain,Club Africain,Tunisia
kaizer-chiefs,Kaizer Chiefs,South Africa
orlando-pirates,Orlando Pirates,South Africa
mamelodi-sundowns,Mamelodi Sundowns,South Africa
enyimba,Enyimba,Nigeria
kano-pillars,Kano Pillars,Nigeria
hearts-of-oak,Hearts of Oak,Ghana
asante-kotoko,Asante Kotoko,Ghana
tp-mazembe,TP Mazembe,DR Congo
vita-club,AS Vita Club,DR Congo
gor-mahia,Gor Mahia,Kenya
tusker,Tusker FC,Kenya
simba,Simba SC,Tanzania
young-africans,Young Africans,Tanzania
sydney-fc,Sydney FC,Australia
melbourne-victory,Melbourne Victory,Australia
melbourne-city,Melbourne City,Australia
western-sydney,Western Sydney Wanderers,Australia
brisbane-roar,Brisbane Roar,Australia
perth-glory,Perth Glory,Australia
adelaide,Adelaide United,Australia
central-coast,Central Coast Mariners,Australia
newcastle-jets,Newcastle Jets,Australia
macarthur,Macarthur FC,Australia
auckland-city,Auckland City,New Zealand
wellington-phoenix,Wellington Phoenix,New Zealand
canterbury,Canterbury United,New Zealand
